% RV_column1 RV_column2 
3.6949e+01 -1.2255e+02
3.7124e+01 -1.2255e+02
3.7295e+01 -1.2255e+02
3.7469e+01 -1.2255e+02
3.7643e+01 -1.2255e+02
3.7813e+01 -1.2255e+02
3.7986e+01 -1.2255e+02
3.7089e+01 -1.2252e+02
3.7260e+01 -1.2252e+02
3.7434e+01 -1.2252e+02
3.7608e+01 -1.2252e+02
3.7779e+01 -1.2252e+02
3.7952e+01 -1.2252e+02
3.7054e+01 -1.2250e+02
3.7225e+01 -1.2250e+02
3.7400e+01 -1.2250e+02
3.7574e+01 -1.2250e+02
3.7744e+01 -1.2250e+02
3.7917e+01 -1.2250e+02
3.7019e+01 -1.2247e+02
3.7194e+01 -1.2247e+02
3.7365e+01 -1.2247e+02
3.7539e+01 -1.2247e+02
3.7713e+01 -1.2247e+02
3.7883e+01 -1.2247e+02
3.6983e+01 -1.2244e+02
3.7159e+01 -1.2244e+02
3.7330e+01 -1.2244e+02
3.7504e+01 -1.2244e+02
3.7678e+01 -1.2244e+02
3.7848e+01 -1.2244e+02
3.6949e+01 -1.2242e+02
3.7124e+01 -1.2242e+02
3.7295e+01 -1.2242e+02
3.7469e+01 -1.2242e+02
3.7643e+01 -1.2242e+02
3.7813e+01 -1.2242e+02
3.7986e+01 -1.2242e+02
3.7089e+01 -1.2239e+02
3.7260e+01 -1.2239e+02
3.7434e+01 -1.2239e+02
3.7608e+01 -1.2239e+02
3.7779e+01 -1.2239e+02
3.7952e+01 -1.2239e+02
3.7054e+01 -1.2237e+02
3.7225e+01 -1.2237e+02
3.7400e+01 -1.2237e+02
3.7574e+01 -1.2237e+02
3.7744e+01 -1.2237e+02
3.7917e+01 -1.2237e+02
3.7019e+01 -1.2234e+02
3.7194e+01 -1.2234e+02
3.7365e+01 -1.2234e+02
3.7539e+01 -1.2234e+02
3.7713e+01 -1.2234e+02
3.7883e+01 -1.2234e+02
3.6983e+01 -1.2231e+02
3.7159e+01 -1.2231e+02
3.7330e+01 -1.2231e+02
3.7504e+01 -1.2231e+02
3.7678e+01 -1.2231e+02
3.7848e+01 -1.2231e+02
3.6949e+01 -1.2228e+02
3.7124e+01 -1.2228e+02
3.7295e+01 -1.2228e+02
3.7469e+01 -1.2228e+02
3.7643e+01 -1.2228e+02
3.7813e+01 -1.2228e+02
3.7986e+01 -1.2228e+02
3.7089e+01 -1.2226e+02
3.7260e+01 -1.2226e+02
3.7434e+01 -1.2226e+02
3.7608e+01 -1.2226e+02
3.7779e+01 -1.2226e+02
3.7952e+01 -1.2226e+02
3.7054e+01 -1.2223e+02
3.7225e+01 -1.2223e+02
3.7400e+01 -1.2223e+02
3.7574e+01 -1.2223e+02
3.7744e+01 -1.2223e+02
3.7917e+01 -1.2223e+02
3.7019e+01 -1.2220e+02
3.7194e+01 -1.2220e+02
3.7365e+01 -1.2220e+02
3.7539e+01 -1.2220e+02
3.7713e+01 -1.2220e+02
3.7883e+01 -1.2220e+02
3.6983e+01 -1.2218e+02
3.7159e+01 -1.2218e+02
3.7330e+01 -1.2218e+02
3.7504e+01 -1.2218e+02
3.7678e+01 -1.2218e+02
3.7848e+01 -1.2218e+02
3.6949e+01 -1.2215e+02
3.7124e+01 -1.2215e+02
3.7295e+01 -1.2215e+02
3.7469e+01 -1.2215e+02
3.7643e+01 -1.2215e+02
3.7813e+01 -1.2215e+02
3.7986e+01 -1.2215e+02
3.7089e+01 -1.2212e+02
3.7260e+01 -1.2212e+02
3.7434e+01 -1.2212e+02
3.7608e+01 -1.2212e+02
3.7779e+01 -1.2212e+02
3.7952e+01 -1.2212e+02
3.7054e+01 -1.2210e+02
3.7225e+01 -1.2210e+02
3.7400e+01 -1.2210e+02
3.7574e+01 -1.2210e+02
3.7744e+01 -1.2210e+02
3.7917e+01 -1.2210e+02
3.7019e+01 -1.2207e+02
3.7194e+01 -1.2207e+02
3.7365e+01 -1.2207e+02
3.7539e+01 -1.2207e+02
3.7713e+01 -1.2207e+02
3.7883e+01 -1.2207e+02
3.6983e+01 -1.2205e+02
3.7159e+01 -1.2205e+02
3.7330e+01 -1.2205e+02
3.7504e+01 -1.2205e+02
3.7678e+01 -1.2205e+02
3.7848e+01 -1.2205e+02
3.6949e+01 -1.2202e+02
3.7124e+01 -1.2202e+02
3.7295e+01 -1.2202e+02
3.7469e+01 -1.2202e+02
3.7643e+01 -1.2202e+02
3.7813e+01 -1.2202e+02
3.7986e+01 -1.2202e+02
3.7089e+01 -1.2199e+02
3.7260e+01 -1.2199e+02
3.7434e+01 -1.2199e+02
3.7608e+01 -1.2199e+02
3.7779e+01 -1.2199e+02
3.7952e+01 -1.2199e+02
3.7054e+01 -1.2197e+02
3.7225e+01 -1.2197e+02
3.7400e+01 -1.2197e+02
3.7574e+01 -1.2197e+02
3.7744e+01 -1.2197e+02
3.7917e+01 -1.2197e+02
3.7019e+01 -1.2194e+02
3.7194e+01 -1.2194e+02
3.7365e+01 -1.2194e+02
3.7539e+01 -1.2194e+02
3.7713e+01 -1.2194e+02
3.7883e+01 -1.2194e+02
3.6983e+01 -1.2191e+02
3.7159e+01 -1.2191e+02
3.7330e+01 -1.2191e+02
3.7504e+01 -1.2191e+02
3.7678e+01 -1.2191e+02
3.7848e+01 -1.2191e+02
3.6949e+01 -1.2188e+02
3.7124e+01 -1.2188e+02
3.7295e+01 -1.2188e+02
3.7469e+01 -1.2188e+02
3.7643e+01 -1.2188e+02
3.7813e+01 -1.2188e+02
3.7986e+01 -1.2188e+02
3.7089e+01 -1.2186e+02
3.7260e+01 -1.2186e+02
3.7434e+01 -1.2186e+02
3.7608e+01 -1.2186e+02
3.7779e+01 -1.2186e+02
3.7952e+01 -1.2186e+02
3.7054e+01 -1.2183e+02
3.7225e+01 -1.2183e+02
3.7400e+01 -1.2183e+02
3.7574e+01 -1.2183e+02
3.7744e+01 -1.2183e+02
3.7917e+01 -1.2183e+02
3.7019e+01 -1.2181e+02
3.7194e+01 -1.2181e+02
3.7365e+01 -1.2181e+02
3.7539e+01 -1.2181e+02
3.7713e+01 -1.2181e+02
3.7883e+01 -1.2181e+02
3.6983e+01 -1.2178e+02
3.7159e+01 -1.2178e+02
3.7330e+01 -1.2178e+02
3.7504e+01 -1.2178e+02
3.7678e+01 -1.2178e+02
3.7848e+01 -1.2178e+02
3.6949e+01 -1.2175e+02
3.7124e+01 -1.2175e+02
3.7295e+01 -1.2175e+02
3.7469e+01 -1.2175e+02
3.7643e+01 -1.2175e+02
3.7813e+01 -1.2175e+02
3.7986e+01 -1.2175e+02
