% sa_1 sa_2 sa_3 sa_4 sa_5 sa_6 sa_7 sa_8 sa_9 sa_10 sa_11 sa_12 sa_13
3.9088e-02 3.9524e-02 4.5059e-02 6.5333e-02 1.2113e-01 1.3362e-01 6.7682e-02 2.9536e-02 1.6418e-02 1.0756e-02 7.2399e-03 4.8628e-03 3.5777e-03
5.6450e-02 5.7089e-02 6.4948e-02 9.4787e-02 1.7497e-01 1.8490e-01 1.0362e-01 5.1453e-02 3.1215e-02 2.1865e-02 1.6296e-02 1.0326e-02 6.8127e-03
6.7378e-02 6.8170e-02 7.7397e-02 1.1354e-01 2.0612e-01 2.0627e-01 1.1177e-01 5.2534e-02 3.0892e-02 2.0921e-02 1.5024e-02 9.4680e-03 6.3593e-03
9.1319e-02 9.2322e-02 1.0314e-01 1.5046e-01 2.7463e-01 2.7055e-01 1.5222e-01 7.5997e-02 4.5561e-02 3.1730e-02 2.3478e-02 1.4259e-02 9.0759e-03
1.1162e-01 1.1256e-01 1.2303e-01 1.7905e-01 3.2340e-01 3.1611e-01 1.6939e-01 7.8670e-02 4.4517e-02 2.9748e-02 2.0776e-02 1.2577e-02 8.2857e-03
1.4501e-01 1.4572e-01 1.5456e-01 2.2068e-01 3.9465e-01 3.9857e-01 2.1446e-01 9.8475e-02 5.6039e-02 3.7397e-02 2.5630e-02 1.5077e-02 9.7565e-03
1.8876e-01 1.9304e-01 2.3628e-01 3.6570e-01 4.3237e-01 1.8278e-01 8.4667e-02 3.6857e-02 2.1716e-02 1.5817e-02 1.2064e-02 7.7593e-03 5.1286e-03
5.4061e-02 5.4666e-02 6.2238e-02 9.1335e-02 1.6736e-01 1.7804e-01 1.0062e-01 5.0040e-02 3.0104e-02 2.1092e-02 1.5698e-02 9.9697e-03 6.5895e-03
6.6670e-02 6.7406e-02 7.6139e-02 1.1229e-01 2.0447e-01 2.0336e-01 1.0896e-01 5.1906e-02 2.9820e-02 2.0404e-02 1.4584e-02 9.2357e-03 6.2429e-03
8.9521e-02 9.0516e-02 1.0116e-01 1.4924e-01 2.7142e-01 2.6603e-01 1.4905e-01 7.4128e-02 4.4643e-02 3.1467e-02 2.3593e-02 1.4344e-02 9.1341e-03
