Run #, K, MultipleEvent, 1-PFA-0-1, 1-PFA-0-2, 1-PFA-1-1, 1-PFA-1-2, 1-PFD-1-1, 1-PFD-1-2, 1-PID-1-1, 1-PFA-2-1, 1-PFA-2-2, 1-PFD-2-1, 1-PFD-2-2, 1-PID-2-1, 1-PFA-3-1, 1-PFA-3-2, 1-PFD-3-1, 1-PFD-3-2, 1-PID-3-1, 1-PRD-1-1
1, 118.189, PEER-Record-70, 231.327, 173.432, 173.513, 124.859, 6.39997, 5.21135, 0.0444442, 132.655, 89.1932, 10.623, 7.30292, 0.0374735, 111.343, 73.6661, 11.5274, 7.508, 0.0132088, 0.0266838
2, 120.569, PEER-Record-50, 194.652, 275.103, 117.335, 114.929, 1.72122, 1.29666, 0.0119529, 94.0031, 80.8118, 2.73644, 1.99692, 0.00781204, 73.1354, 73.8176, 2.81821, 1.96841, 0.00297058, 0.00652364
3, 116.131, PEER-Record-26, 101.103, 196.745, 101.841, 147.456, 2.32036, 3.66757, 0.0161136, 94.2641, 88.9073, 3.17247, 6.21458, 0.00720654, 78.1631, 77.9168, 3.43932, 6.61449, 0.00371383, 0.00796139
4, 124.566, PEER-Record-11, 265.835, 274.502, 128.885, 141.46, 1.4554, 2.48394, 0.0101069, 74.6094, 83.3264, 2.18565, 3.93566, 0.00861071, 74.3325, 78.5296, 2.24944, 4.107, 0.00273021, 0.00520704
5, 114.506, PEER-Record-8, 325.832, 345.395, 112.51, 147.162, 1.92529, 2.93586, 0.0133701, 111.356, 87.6593, 1.98904, 4.37532, 0.00547802, 76.3987, 78.2327, 2.09355, 4.60611, 0.0039189, 0.00484619
6, 128.399, PEER-Record-99, 129.716, 233.299, 136.128, 126.301, 0.597301, 1.92251, 0.00414792, 76.8715, 81.7829, 0.89324, 2.89428, 0.00317693, 69.5418, 77.4451, 1.05165, 3.35799, 0.0020457, 0.00243437
7, 117.128, PEER-Record-77, 239.064, 243.872, 134.414, 130.592, 4.43207, 2.48255, 0.0307783, 105.433, 88.6413, 6.70449, 3.32909, 0.0237961, 79.5601, 77.1698, 6.99458, 3.45731, 0.00456458, 0.0161912
8, 109.919, PEER-Record-20, 212.28, 264.223, 179.43, 144.191, 14.5435, 7.36288, 0.100996, 220.871, 173.832, 26.9862, 12.4314, 0.090396, 338.991, 170.984, 35.457, 15.94, 0.0654734, 0.0820765
9, 113.931, PEER-Record-78, 206.685, 275.135, 123.146, 139.305, 6.16335, 4.15242, 0.042801, 131.05, 96.9989, 10.7064, 6.96646, 0.0359823, 153.79, 82.8827, 13.4572, 7.56627, 0.0214364, 0.0311509
10, 129.968, PEER-Record-14, 127.447, 187.622, 117.062, 135.101, 4.34316, 5.27753, 0.0301608, 100.687, 156.49, 7.26639, 10.3738, 0.0242239, 98.6497, 138.816, 8.2739, 11.7994, 0.00779344, 0.0191525
11, 120.36, PEER-Record-71, 754.707, 558.578, 142.035, 146.173, 3.47489, 3.19226, 0.0241312, 133.288, 140.623, 4.84787, 4.04388, 0.011943, 84.1006, 78.969, 5.23914, 4.05359, 0.00411323, 0.0121276
12, 119.011, PEER-Record-15, 183.138, 208.88, 119.563, 126.387, 3.81904, 3.55864, 0.0265211, 87.3989, 88.8146, 6.01896, 5.73553, 0.0187375, 82.3089, 75.8533, 6.41369, 6.16305, 0.00437856, 0.0148465
13, 122.857, PEER-Record-57, 230.353, 195.844, 136.914, 104.092, 1.70822, 3.51516, 0.0118627, 65.5026, 78.8949, 2.0857, 4.82274, 0.00452693, 71.3951, 76.066, 2.20609, 4.94468, 0.00231227, 0.00510669
14, 122.304, PEER-Record-96, 228.22, 191.687, 104.324, 109.677, 4.35555, 2.14422, 0.0302469, 116.851, 73.0111, 6.64741, 3.23124, 0.0195623, 76.6845, 73.4918, 6.97585, 3.588, 0.00370066, 0.0161478
15, 117.563, PEER-Record-34, 514.137, 219.769, 101.272, 107.352, 2.98984, 4.2739, 0.0207628, 77.3833, 93.4749, 3.59654, 6.47158, 0.00598406, 75.2244, 79.4718, 3.65797, 6.80704, 0.00280709, 0.00846753
16, 110.854, PEER-Record-6, 186.993, 140.406, 117.065, 112.076, 4.45056, 3.59578, 0.0309067, 94.0505, 102.652, 7.13441, 6.17875, 0.0220257, 79.7416, 74.3217, 7.44187, 6.49322, 0.00426893, 0.0172266
17, 126.41, PEER-Record-79, 196.219, 219.88, 115.156, 151.622, 2.92479, 4.1737, 0.0203111, 90.3344, 116.668, 4.23848, 6.31418, 0.0125424, 78.9536, 96.5405, 4.61294, 7.24373, 0.00349914, 0.0106781
18, 115.617, PEER-Record-5, 276.645, 165.188, 128.926, 99.29, 1.06435, 1.82285, 0.00739133, 82.6621, 66.8838, 1.68456, 2.10851, 0.005315, 81.4758, 70.7192, 1.9875, 2.30521, 0.00464306, 0.0046007
19, 126.029, PEER-Record-68, 307.914, 268.251, 157.366, 121.324, 7.12177, 3.29736, 0.0494567, 155.623, 111.773, 12.9403, 5.38385, 0.0427486, 157.893, 79.3601, 15.068, 5.85283, 0.0205407, 0.0348797
20, 112.958, PEER-Record-80, 234.616, 504.693, 132.114, 112.901, 2.57098, 3.78592, 0.017854, 115.896, 101.332, 2.93943, 5.67357, 0.00598014, 72.7441, 81.1506, 3.12122, 5.73927, 0.00243178, 0.00722505
21, 125.09, PEER-Record-97, 240.161, 140.089, 116.361, 97.6182, 4.80519, 1.28085, 0.0333694, 108.496, 68.6861, 9.03743, 1.82601, 0.0301356, 114.3, 75.1686, 10.3095, 2.01793, 0.0119859, 0.0238645
22, 120.903, PEER-Record-72, 481.211, 382.735, 143.212, 121.364, 2.09909, 4.56336, 0.014577, 81.7441, 88.9678, 3.59942, 6.46018, 0.0114596, 77.6785, 75.8812, 3.72884, 6.50039, 0.00323987, 0.00863157
