Run #, K, 1-DS575-0-1, 1-PSA(0.5s)-0-1, 1-SaRatio-0-1, 1-DS575-0-2, 1-PSA(0.5s)-0-2, 1-SaRatio-0-2, 1-PFA-0-1, 1-PFA-0-2, 1-PFA-1-1, 1-PFA-1-2, 1-PFD-1-1, 1-PFD-1-2, 1-PID-1-1, 1-PFA-2-1, 1-PFA-2-2, 1-PFD-2-1, 1-PFD-2-2, 1-PID-2-1, 1-PFA-3-1, 1-PFA-3-2, 1-PFD-3-1, 1-PFD-3-2, 1-PID-3-1, 1-PRD-1-1
1, 118.189, 4.38, 1.34292, 1.39415, 8.04, 0.788334, 0.836029, 191.497, 176.068, 115.031, 168.408, 1.28702, 1.68452, 0.135777, 179.941, 81.7914, 15.015, 10.3796, 0.431102, 77.4443, 97.7486, 16.274, 4.51792, 0.0167213, 0.154107
2, 120.569, 1.415, 1.20466, 0.700946, 1.655, 0.985209, 0.651916, 399.458, 187.568, 205.977, 68.317, 2.61223, 1.73628, 0.0163274, 105.818, 96.7255, 2.89236, 2.4464, 0.0210349, 259.655, 148.199, 3.81624, 3.57159, 0.0044325, 0.00476781
3, 116.131, 9.905, 1.17714, 0.860016, 8.74, 1.01777, 0.691786, 188.271, 185.409, 132.588, 142.66, 2.6445, 1.01288, 0.018639, 202.99, 122.045, 3.69103, 7.0219, 0.0210748, 173.623, 104.368, 3.14174, 6.80712, 0.00581391, 0.037606
4, 124.566, 5.755, 0.918001, 0.500085, 5.08, 1.25369, 0.904091, 187.069, 149.341, 254.732, 119.761, 1.97479, 8.11976, 0.00474986, 85.8251, 97.8289, 1.1897, 1.0243, 0.00489058, 87.6299, 86.7232, 0.660745, 1.15424, 0.00675808, 0.010846
5, 114.506, 3.58, 0.870522, 0.524192, 4.755, 1.29005, 0.822164, 143.054, 220.979, 140.221, 93.9991, 0.556412, 5.09556, 0.014021, 67.6542, 175.176, 1.21229, 10.3404, 0.00761644, 85.0622, 102.503, 1.76614, 1.75904, 0.00429722, 0.00396897
6, 128.399, 3.65, 0.840691, 0.423998, 2.08, 1.30871, 0.502622, 323.801, 159.709, 133.325, 133.174, 0.897423, 1.90488, 0.00616501, 63.5293, 129.233, 1.46577, 1.37097, 0.00381771, 98.0701, 50.0026, 1.02717, 0.475591, 0.00423648, 0.00336947
7, 117.128, 5.45, 0.861368, 0.975509, 5.84, 1.29735, 0.786226, 165.766, 250.444, 83.5021, 97.0581, 0.750054, 10.4672, 0.0485286, 402.708, 200.798, 8.49058, 1.81467, 0.0429616, 65.6847, 111.595, 4.57371, 4.50246, 0.0122617, 0.0131353
8, 109.919, 6.76, 1.06896, 0.779551, 5.835, 1.1311, 1.10753, 158.374, 131.307, 115.664, 127.388, 2.71451, 2.93722, 0.00864635, 98.374, 98.4587, 3.07931, 5.69234, 0.032416, 94.7674, 121.261, 10.7797, 5.73671, 0.0142733, 0.00732853
9, 113.931, 9.5, 1.3356, 0.75992, 10.05, 0.804277, 0.740866, 391.559, 256.091, 128.806, 111.668, 5.4305, 1.58897, 0.0301601, 168.602, 101.702, 5.61726, 7.28501, 0.0399698, 39.0704, 160.273, 4.58893, 8.35889, 0.0036131, 0.0181135
10, 129.968, 12.39, 1.18442, 1.05413, 11.42, 1.01177, 1.46143, 407.633, 123.689, 142.333, 66.8808, 5.72238, 4.77706, 0.0295743, 199.371, 145.449, 6.40604, 2.80647, 0.029745, 220.423, 140.85, 4.01391, 3.72563, 0.0144311, 0.0689931
11, 120.36, 2.83, 1.10714, 0.868522, 2.44, 1.09515, 0.43802, 221.523, 119.805, 185.84, 81.5934, 3.83314, 0.786245, 0.0226567, 127.532, 84.2765, 22.0113, 3.3412, 0.0235527, 261.873, 70.9414, 10.7612, 5.79009, 0.0123612, 0.0096983
12, 119.011, 10.7, 1.15196, 0.736973, 10.2, 1.0463, 0.68504, 136.49, 200.179, 160.44, 136.492, 6.43532, 2.79861, 0.034641, 184.014, 172.964, 2.48605, 2.83226, 0.00801556, 187.546, 80.1381, 6.44032, 5.16012, 0.0066206, 0.0327286
13, 122.857, 3.61, 1.17343, 0.652011, 10.61, 1.02198, 0.932332, 345.561, 152.889, 172.921, 115.378, 1.09844, 3.43331, 0.00664366, 132.67, 78.4183, 5.09526, 3.68922, 0.0118867, 45.3825, 99.2221, 2.962, 5.15081, 0.00787203, 0.0129556
14, 122.304, 2.785, 1.28195, 0.742721, 2.16, 0.878981, 0.936668, 188.252, 197.879, 211.982, 96.4462, 5.56068, 1.14007, 0.012492, 95.9836, 91.1981, 3.8752, 5.16076, 0.0215761, 169.593, 111.689, 2.98271, 7.95463, 0.00557841, 0.0314562
15, 117.563, 1.315, 0.853921, 0.716053, 4.1, 1.30077, 0.96029, 163.542, 112.441, 114.001, 136.937, 1.24009, 2.60453, 0.00805623, 129.526, 87.7337, 2.74182, 1.64845, 0.0114803, 70.9674, 65.9621, 2.30623, 7.62132, 0.00482921, 0.00364614
16, 110.854, 12.17, 1.27504, 1.03343, 17.73, 0.894389, 0.767733, 223.794, 77.3845, 193.835, 141.637, 7.94872, 6.69986, 0.0453082, 156.055, 119.941, 10.5119, 25.2317, 0.0830743, 15.3677, 104.964, 10.6806, 3.09473, 0.0205704, 0.0276558
17, 126.41, 6.04, 0.719895, 0.892081, 6.67, 1.38022, 0.954481, 160.273, 446.286, 116.914, 151.385, 4.10567, 6.01543, 0.0248891, 139.088, 137.887, 2.70373, 5.80959, 0.0143963, 226.575, 77.5756, 2.03005, 9.54976, 0.00787318, 0.0125869
18, 115.617, 3.82, 1.33383, 0.927209, 4.145, 0.798472, 1.0236, 243.383, 150.879, 192.397, 94.2927, 3.71094, 2.97592, 0.0689659, 258.852, 119.835, 4.85491, 2.24321, 0.0399897, 76.2295, 86.8131, 6.12517, 4.45227, 0.0186087, 0.0174272
19, 126.029, 5.25, 1.11311, 0.784952, 5.04, 1.08973, 0.890323, 251.534, 157.455, 186.621, 75.7254, 1.91017, 4.07219, 0.0291823, 84.4954, 129.249, 5.23569, 4.75667, 0.0120217, 42.1201, 74.9419, 2.33282, 5.65289, 0.0063405, 0.0260963
20, 112.958, 5.7, 0.584804, 0.839489, 3.36, 1.43983, 0.823738, 153.439, 274.858, 136.438, 100.288, 3.70509, 1.44313, 0.0116258, 90.4389, 239.517, 2.82503, 2.70727, 0.0157551, 298.188, 74.8355, 3.33464, 3.27502, 0.00559678, 0.00815742
21, 125.09, 3.61, 1.2174, 1.13595, 6.065, 0.96971, 0.704243, 195.591, 87.7832, 258.446, 104.866, 2.71792, 1.39828, 0.0822819, 117.618, 156.645, 10.0802, 6.9465, 0.0415323, 195.007, 157.067, 5.07309, 14.4685, 0.017032, 0.0678513
22, 120.903, 3.69, 1.01604, 0.692421, 4.18, 1.1768, 0.877978, 210.378, 153.477, 124.79, 166.87, 3.58958, 1.70622, 0.0108689, 77.4935, 64.0779, 6.55896, 2.42705, 0.013859, 76.9069, 95.243, 1.91005, 2.23978, 0.00685749, 0.0137321
23, 122.031, 18.64, 0.848363, 0.990508, 17.11, 1.30422, 1.09877, 246.754, 142.008, 111.293, 108.535, 1.61683, 1.74674, 0.0298759, 146.514, 84.6609, 6.80058, 5.94862, 0.0496509, 116.526, 150.178, 4.35291, 11.6849, 0.0159362, 0.0265945
24, 119.98, 17.72, 1.22354, 0.908546, 25.04, 0.960478, 1.13809, 205.64, 229.995, 98.6445, 95.9243, 2.41246, 3.6188, 0.0231462, 458.233, 52.998, 13.272, 3.03848, 0.0273209, 820.551, 60.7392, 6.42482, 3.15603, 0.0149308, 0.0133975
25, 121.288, 4.94, 0.878809, 0.778772, 4.195, 1.28392, 0.669972, 177.781, 97.1072, 160.389, 161.881, 1.6194, 2.74411, 0.0140655, 52.3714, 91.7067, 4.32063, 3.09642, 0.00591961, 143.538, 79.1183, 2.13558, 2.21696, 0.00457785, 0.0328357
26, 118.555, 1.32, 1.30503, 0.827381, 1.32, 0.844724, 0.59423, 377.192, 160.302, 276.651, 121.052, 3.17103, 1.79655, 0.0264555, 185.801, 140.894, 12.3892, 8.14846, 0.0292942, 49.0333, 72.3953, 9.16455, 5.08776, 0.00613218, 0.0166378
27, 123.332, 7.605, 1.26529, 1.0492, 5.405, 0.904626, 0.908176, 251.477, 338.942, 191.776, 84.1011, 5.09184, 7.01061, 0.0550454, 161.085, 86.5046, 9.59001, 8.13798, 0.0114085, 49.57, 59.1373, 8.92473, 13.3474, 0.00717943, 0.0292661
28, 119.539, 7.445, 1.24613, 1.29054, 5.04, 0.931585, 0.842668, 169.091, 217.967, 356.817, 57.0682, 7.96878, 3.53865, 0.113053, 296.091, 174.181, 11.5436, 7.07057, 0.0457667, 25.4307, 172.071, 22.1551, 4.47721, 0.018617, 0.068138
29, 116.496, 2.38, 1.0157, 0.603296, 2.18, 1.18256, 0.604869, 107.769, 255.592, 123.075, 148.565, 1.89116, 2.30668, 0.00440328, 168.079, 100.346, 1.19805, 5.59317, 0.00799614, 36.7106, 65.4909, 5.17065, 3.71755, 0.00430122, 0.00771972
30, 123.674, 5.89, 0.836154, 0.891455, 3.73, 1.30984, 0.763889, 140.466, 167.065, 134.684, 119.375, 1.96184, 1.97134, 0.0121047, 320.755, 109.245, 4.01707, 3.81742, 0.0127512, 69.6946, 89.6351, 7.36645, 4.18483, 0.00303269, 0.0114719
